CommandLine, Time, Executable, Parent PID, PID, User, Privileges
None , 20220512211616.593895+180 , None,1008 , 600464 , (None, 2, None) , N/A
C:\Windows\System32\RuntimeBroker.exe -Embedding , 20220512211622.166553+180 , C:\Windows\System32\RuntimeBroker.exe,1100 , 144664 , ('DESKTOP-UPC7GRS', 0, 'elika') , N/A
"C:\Program Files\WindowsApps\Microsoft.WindowsCalculator_10.2103.8.0_x64__8wekyb3d8bbwe\Calculator.exe" -ServerName:App.AppXsm3pg4n7er43kdh1qp4e79f1j7am68r8.mca , 20220512211621.781604+180 , C:\Program Files\WindowsApps\Microsoft.WindowsCalculator_10.2103.8.0_x64__8wekyb3d8bbwe\Calculator.exe,1100 , 567216 , ('DESKTOP-UPC7GRS', 0, 'elika') , N/A
"C:\WINDOWS\SysWOW64\DllHost.exe" /Processid:{776DBC8D-7347-478C-8D71-791E12EF49D8} , 20220512211638.766487+180 , C:\WINDOWS\SysWOW64\DllHost.exe,1100 , 500592 , ('DESKTOP-UPC7GRS', 0, 'elika') , N/A
C:\Windows\System32\smartscreen.exe -Embedding , 20220512211638.950445+180 , C:\Windows\System32\smartscreen.exe,1100 , 567816 , ('DESKTOP-UPC7GRS', 0, 'elika') , N/A
"C:\Users\elika\AppData\Local\Programs\Opera\opera.exe" --type=renderer --extension-process --display-capture-permissions-policy-allowed --user-agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Safari/537.36 OPR/86.0.4363.59 (Edition utorrent)" --with-feature:aliexpress-modal=off --with-feature:bookmarks-trash-cleaner=on --with-feature:continue-on-booking=on --with-feature:continue-shopping=on --with-feature:continue-shopping-2=on --with-feature:continue-shopping-5=on --with-feature:continue-shopping-structured-partners=on --with-feature:feature-remote-disable-updates-testing-flag=off --with-feature:feature-remote-updates-testing-flag=on --with-feature:native-crypto-wallet=on --with-feature:partner-inline-autocompletion=on --with-feature:personalized-speeddials=on --with-feature:sitecheck-age=on --with-feature:snap-upstream-implementation=on --with-feature:startpage-sync-banner-ref=on --with-feature:yandex-zen-iframe-scroll=on --with-feature:yandex-zen-leads-for-nonsdusers=off --with-feature:yandex-zen-lift-up=off --with-feature:yandex-zen-news=off --with-feature:yandex-zen-news-next=on --with-feature:yat-emoji-addresses=on --with-feature:installer-experiment-test=off --ab_tests=DNA-77043-ref:DNA-77043 --lang=en-US --device-scale-factor=1 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=15 --launch-time-ticks=1844181253988 --mojo-platform-channel-handle=4704 --field-trial-handle=1780,i,3823250395083260598,6714229239982252045,131072 /prefetch:1 , 20220512211655.709999+180 , C:\Users\elika\AppData\Local\Programs\Opera\opera.exe,45036 , 108216 , ('DESKTOP-UPC7GRS', 0, 'elika') , N/A
"C:\Users\elika\AppData\Local\Programs\Opera\opera.exe" --type=renderer --extension-process --display-capture-permissions-policy-allowed --user-agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Safari/537.36 OPR/86.0.4363.59 (Edition utorrent)" --with-feature:aliexpress-modal=off --with-feature:bookmarks-trash-cleaner=on --with-feature:continue-on-booking=on --with-feature:continue-shopping=on --with-feature:continue-shopping-2=on --with-feature:continue-shopping-5=on --with-feature:continue-shopping-structured-partners=on --with-feature:feature-remote-disable-updates-testing-flag=off --with-feature:feature-remote-updates-testing-flag=on --with-feature:native-crypto-wallet=on --with-feature:partner-inline-autocompletion=on --with-feature:personalized-speeddials=on --with-feature:sitecheck-age=on --with-feature:snap-upstream-implementation=on --with-feature:startpage-sync-banner-ref=on --with-feature:yandex-zen-iframe-scroll=on --with-feature:yandex-zen-leads-for-nonsdusers=off --with-feature:yandex-zen-lift-up=off --with-feature:yandex-zen-news=off --with-feature:yandex-zen-news-next=on --with-feature:yat-emoji-addresses=on --with-feature:installer-experiment-test=off --ab_tests=DNA-77043-ref:DNA-77043 --lang=en-US --device-scale-factor=1 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=7 --launch-time-ticks=1844181202956 --mojo-platform-channel-handle=4656 --field-trial-handle=1780,i,3823250395083260598,6714229239982252045,131072 /prefetch:1 , 20220512211655.659076+180 , C:\Users\elika\AppData\Local\Programs\Opera\opera.exe,45036 , 172308 , ('DESKTOP-UPC7GRS', 0, 'elika') , N/A
CommandLine, Time, Executable, Parent PID, PID, User, Privileges
