,IP,MAC
0,192.168.1.1,d4:35:1d:77:c5:91
1,192.168.1.110,12:a3:06:b5:a1:7a
2,192.168.1.154,e4:ab:46:10:e4:4c
3,192.168.1.172,30:9c:23:8a:25:ae
